domain,score,available,status,method,checked_at
aa.com,100,False,REGISTERED,RDAP,2026-07-10 08:09:05.886314
ab.com,95,False,REGISTERED,RDAP,2026-07-10 08:09:05.886329
ac.com,96,False,REGISTERED,RDAP,2026-07-10 08:09:05.886334
ad.com,96,False,REGISTERED,RDAP,2026-07-10 08:09:05.886338
ae.com,100,False,REGISTERED,RDAP,2026-07-10 08:09:05.886342
af.com,94,False,REGISTERED,RDAP,2026-07-10 08:09:05.886346
ag.com,94,False,REGISTERED,RDAP,2026-07-10 08:09:05.886349
ah.com,94,False,REGISTERED,RDAP,2026-07-10 08:09:05.886353
ai.com,100,False,REGISTERED,RDAP,2026-07-10 08:09:05.886356
ak.com,94,False,REGISTERED,RDAP,2026-07-10 08:09:05.886359
al.com,98,False,REGISTERED,RDAP,2026-07-10 08:09:05.886363
am.com,97,False,REGISTERED,RDAP,2026-07-10 08:09:05.886367
an.com,98,False,REGISTERED,RDAP,2026-07-10 08:09:05.886370
ao.com,100,False,REGISTERED,RDAP,2026-07-10 08:09:05.886374
ap.com,95,False,REGISTERED,RDAP,2026-07-10 08:09:05.886377
ar.com,98,False,REGISTERED,RDAP,2026-07-10 08:09:05.886381
as.com,98,False,REGISTERED,RDAP,2026-07-10 08:09:05.886384
at.com,98,False,REGISTERED,RDAP,2026-07-10 08:09:05.886387
